github.com/klauspost/compress,https://github.com/klauspost/compress/blob/v1.19.1/LICENSE,MIT
github.com/klauspost/compress,https://github.com/klauspost/compress/blob/v1.19.1/LICENSE,Apache-2.0
github.com/klauspost/compress,https://github.com/klauspost/compress/blob/v1.19.1/LICENSE,BSD-3-Clause
github.com/klauspost/compress/internal/snapref,https://github.com/klauspost/compress/blob/v1.19.1/internal/snapref/LICENSE,BSD-3-Clause
github.com/klauspost/compress/zstd/internal/xxhash,https://github.com/klauspost/compress/blob/v1.19.1/zstd/internal/xxhash/LICENSE.txt,MIT
github.com/klauspost/cpuid/v2,https://github.com/klauspost/cpuid/blob/v2.4.0/LICENSE,MIT
github.com/klauspost/reedsolomon,https://github.com/klauspost/reedsolomon/blob/v1.14.1/LICENSE,MIT
github.com/leodido/go-urn,https://github.com/leodido/go-urn/blob/v1.4.0/LICENSE,MIT
github.com/lucasb-eyer/go-colorful,https://github.com/lucasb-eyer/go-colorful/blob/v1.4.0/LICENSE,MIT
github.com/mattn/go-isatty,https://github.com/mattn/go-isatty/blob/v0.0.23/LICENSE,MIT
github.com/mattn/go-runewidth,https://github.com/mattn/go-runewidth/blob/v0.0.24/LICENSE,MIT
github.com/mdlayher/netlink,https://github.com/mdlayher/netlink/blob/v1.11.2/LICENSE.md,MIT
github.com/mdlayher/socket,https://github.com/mdlayher/socket/blob/v0.6.1/LICENSE.md,MIT
github.com/metacubex/amneziawg-go/device,https://github.com/metacubex/amneziawg-go/blob/736a78668832/LICENSE,MIT
github.com/metacubex/ascon,https://github.com/metacubex/ascon/blob/v0.1.0/LICENSE,BSD-3-Clause
github.com/metacubex/bart,https://github.com/metacubex/bart/blob/v0.29.0/LICENSE,MIT
github.com/metacubex/bbolt,https://github.com/metacubex/bbolt/blob/d4ec34ad7c48/LICENSE,MIT
github.com/metacubex/blake3,https://github.com/metacubex/blake3/blob/v0.1.0/LICENSE,MIT
github.com/metacubex/chacha,Unknown,Unknown
github.com/metacubex/chacha/chacha,Unknown,Unknown
github.com/metacubex/chacha/chachapoly1305,https://github.com/metacubex/chacha/blob/v0.1.5/chachapoly1305/LICENSE,MIT
github.com/metacubex/chacha/poly1305,https://github.com/metacubex/chacha/blob/v0.1.5/poly1305/LICENSE,MIT
github.com/metacubex/connect-ip-go,https://github.com/metacubex/connect-ip-go/blob/67ccdb0cf771/LICENSE,MIT
github.com/metacubex/cpu,https://github.com/metacubex/cpu/blob/v0.1.1/LICENSE,BSD-3-Clause
github.com/metacubex/edwards25519,https://github.com/metacubex/edwards25519/blob/v1.2.0/LICENSE,BSD-3-Clause
github.com/metacubex/fswatch,Unknown,Unknown
github.com/metacubex/gopacket,https://github.com/metacubex/gopacket/blob/7e2f98a3e759/LICENSE,BSD-3-Clause
github.com/metacubex/hkdf,https://github.com/metacubex/hkdf/blob/v0.1.0/LICENSE,BSD-3-Clause
github.com/metacubex/hpke,https://github.com/metacubex/hpke/blob/v0.1.0/LICENSE,BSD-3-Clause
github.com/metacubex/http,https://github.com/metacubex/http/blob/v0.1.7/LICENSE,BSD-3-Clause
github.com/metacubex/jls-quic-go,https://github.com/metacubex/jls-quic-go/blob/732f2fc9a34d/LICENSE,MIT
github.com/metacubex/jls-tls,https://github.com/metacubex/jls-tls/blob/67adc0e2f796/LICENSE,BSD-3-Clause
github.com/metacubex/kcp-go,https://github.com/metacubex/kcp-go/blob/550693377604/LICENSE,MIT
github.com/metacubex/mihomo,https://github.com/metacubex/mihomo/blob/v1.19.30/LICENSE,GPL-3.0
github.com/metacubex/mihomo/transport/kcptun,https://github.com/metacubex/mihomo/blob/v1.19.30/transport/kcptun/LICENSE.md,MIT
github.com/metacubex/mipstack,https://github.com/metacubex/mipstack/blob/b7038299fe13/LICENSE,MPL-2.0
github.com/metacubex/mlkem,https://github.com/metacubex/mlkem/blob/v0.1.0/LICENSE,BSD-3-Clause
github.com/metacubex/qpack,https://github.com/metacubex/qpack/blob/v0.6.0/LICENSE.md,MIT
github.com/metacubex/quic-go,https://github.com/metacubex/quic-go/blob/2548683b76f4/LICENSE,MIT
github.com/metacubex/randv2,https://github.com/metacubex/randv2/blob/v0.2.0/LICENSE,GPL-3.0
github.com/metacubex/restls-client-go,https://github.com/metacubex/restls-client-go/blob/v0.1.9/LICENSE,BSD-3-Clause
github.com/metacubex/sing-mux,Unknown,Unknown
github.com/metacubex/sing-quic,Unknown,Unknown
github.com/metacubex/sing-quic/hysteria2,Unknown,Unknown
github.com/metacubex/sing-quic/hysteria2/congestion,Unknown,Unknown
github.com/metacubex/sing-quic/hysteria2/internal/protocol,Unknown,Unknown
github.com/metacubex/sing-quic/hysteria2/internal/stun,Unknown,Unknown
github.com/metacubex/sing-quic/hysteria2/realm,Unknown,Unknown
github.com/metacubex/sing-shadowsocks,Unknown,Unknown
github.com/metacubex/sing-shadowsocks/shadowaead,Unknown,Unknown
github.com/metacubex/sing-shadowsocks/shadowaead_2022,Unknown,Unknown
github.com/metacubex/sing-shadowsocks/shadowimpl,Unknown,Unknown
github.com/metacubex/sing-shadowsocks/shadowstream,Unknown,Unknown
github.com/metacubex/sing-shadowsocks2,Unknown,Unknown
github.com/metacubex/sing-shadowsocks2/cipher,Unknown,Unknown
github.com/metacubex/sing-shadowsocks2/internal/legacykey,Unknown,Unknown
github.com/metacubex/sing-shadowsocks2/internal/shadowio,Unknown,Unknown
github.com/metacubex/sing-shadowsocks2/shadowaead,Unknown,Unknown
github.com/metacubex/sing-shadowsocks2/shadowaead_2022,Unknown,Unknown
github.com/metacubex/sing-shadowsocks2/shadowstream,Unknown,Unknown
github.com/metacubex/sing-vmess,Unknown,Unknown
github.com/metacubex/sing-vmess/packetaddr,Unknown,Unknown
github.com/metacubex/sing-wireguard,https://github.com/metacubex/sing-wireguard/blob/110eac03c3f0/LICENSE,GPL-3.0
github.com/metacubex/sing/common,Unknown,Unknown
github.com/metacubex/sing/common/atomic,Unknown,Unknown
github.com/metacubex/sing/common/auth,Unknown,Unknown
github.com/metacubex/sing/common/baderror,Unknown,Unknown
github.com/metacubex/sing/common/batch,Unknown,Unknown
github.com/metacubex/sing/common/binary,Unknown,Unknown
github.com/metacubex/sing/common/buf,Unknown,Unknown
github.com/metacubex/sing/common/bufio,Unknown,Unknown
github.com/metacubex/sing/common/cache,Unknown,Unknown
github.com/metacubex/sing/common/canceler,Unknown,Unknown
github.com/metacubex/sing/common/control,Unknown,Unknown
github.com/metacubex/sing/common/debug,Unknown,Unknown
github.com/metacubex/sing/common/exceptions,Unknown,Unknown
github.com/metacubex/sing/common/format,Unknown,Unknown
github.com/metacubex/sing/common/logger,Unknown,Unknown
github.com/metacubex/sing/common/metadata,Unknown,Unknown
github.com/metacubex/sing/common/network,Unknown,Unknown
github.com/metacubex/sing/common/pipe,Unknown,Unknown
github.com/metacubex/sing/common/random,Unknown,Unknown
github.com/metacubex/sing/common/replay,Unknown,Unknown
github.com/metacubex/sing/common/rw,Unknown,Unknown
github.com/metacubex/sing/common/task,Unknown,Unknown
github.com/metacubex/sing/common/udpnat,Unknown,Unknown
github.com/metacubex/sing/common/uot,Unknown,Unknown
github.com/metacubex/sing/common/x/constraints,Unknown,Unknown
github.com/metacubex/sing/common/x/list,Unknown,Unknown
github.com/metacubex/smux,https://github.com/metacubex/smux/blob/d0c8756d3141/LICENSE,MIT
github.com/metacubex/ssh,https://github.com/metacubex/ssh/blob/v0.1.0/LICENSE,BSD-3-Clause
github.com/metacubex/tfo-go,https://github.com/metacubex/tfo-go/blob/376a77860b8c/LICENSE,MIT
github.com/metacubex/tls,https://github.com/metacubex/tls/blob/v0.1.8/LICENSE,BSD-3-Clause
github.com/metacubex/utls,https://github.com/metacubex/utls/blob/v1.8.7/LICENSE,BSD-3-Clause
github.com/metacubex/utls/dicttls,https://github.com/metacubex/utls/blob/v1.8.7/dicttls/LICENSE,BSD-3-Clause
github.com/metacubex/wireguard-go,https://github.com/metacubex/wireguard-go/blob/a6cecdd7f57f/LICENSE,MIT
github.com/metacubex/yamux,https://github.com/metacubex/yamux/blob/dd5f17c0be49/LICENSE,MPL-2.0
github.com/metacubex/zerotier-go,https://github.com/metacubex/zerotier-go/blob/13fa6f45da5f/LICENSE,MPL-2.0
github.com/miekg/dns,https://github.com/miekg/dns/blob/v1.1.72/LICENSE,BSD-3-Clause
github.com/modern-go/concurrent,https://github.com/modern-go/concurrent/blob/bacd9c7ef1dd/LICENSE,Apache-2.0
github.com/modern-go/reflect2,https://github.com/modern-go/reflect2/blob/v1.0.2/LICENSE,Apache-2.0
github.com/mroth/weightedrand/v2,https://github.com/mroth/weightedrand/blob/v2.1.0/LICENSE.txt,MIT
github.com/muesli/termenv,https://github.com/muesli/termenv/blob/v0.16.0/LICENSE,MIT
github.com/oasisprotocol/deoxysii,https://github.com/oasisprotocol/deoxysii/blob/2091330c22b7/LICENSE,MIT
